,features_tag,features
10,features_nfeats_30_split_0,"['Mean_rh_wg_pct_precentral', 'GrayVol_lh_superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'ThickAvg_rh_parsopercularis', 'normMax_Right-Caudate', 'normMax_3rd-Ventricle', 'normMax_CC_Central', 'GausCurv_lh_fusiform', 'normMax_CC_Anterior', 'Mean_lh_wg_pct_precentral', 'ThickAvg_lh_parstriangularis', 'GausCurv_rh_cuneus', 'GrayVol_lh_lateralorbitofrontal', 'Mean_lh_wg_pct_postcentral', 'normMaxwm-lh-parsorbitalis', 'normMaxwm-rh-parsopercularis', 'normMin_CSF', 'normMaxwm-lh-parahippocampal', 'normMaxwm-lh-insula', 'normMax_Right-Putamen', 'normMaxwm-lh-lingual', 'lh_MeanThickness', 'ThickAvg_lh_parsopercularis', 'normMinRight-UnsegmentedWhiteMatter', 'normMinwm-lh-postcentral', 'MeanCurv_lh_inferiortemporal', 'normMaxwm-rh-middletemporal']"
11,features_nfeats_30_split_1,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_rh_parstriangularis', 'normMax_Left-Pallidum', 'GausCurv_lh_fusiform', 'normStdDev_Left-Cerebellum-Cortex', 'normMaxwm-rh-superiorfrontal', 'normMax_3rd-Ventricle', 'Volume_mm3_Left-Putamen', 'Mean_lh_wg_pct_paracentral', 'normMax_Right-Caudate', 'ThickAvg_lh_parsopercularis', 'Mean_rh_wg_pct_parsopercularis', 'GausCurv_rh_transversetemporal', 'ThickAvg_lh_precentral', 'normMax_Right-Putamen', 'GausCurv_rh_lingual', 'GausCurv_rh_pericalcarine', 'FoldInd_lh_parahippocampal', 'normMaxwm-rh-middletemporal', 'Mean_lh_wg_pct_parstriangularis', 'normMinwm-lh-caudalmiddlefrontal', 'GrayVol_rh_rostralmiddlefrontal', 'normMinwm-rh-cuneus', 'normMax_4th-Ventricle', 'normRange_Right-Accumbens-area']"
12,features_nfeats_30_split_2,"['Mean_rh_wg_pct_precentral', 'rh_MeanThickness', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Left-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'ThickAvg_rh_parstriangularis', 'normStdDev_Left-Cerebellum-Cortex', 'ThickAvg_lh_parsopercularis', 'normMax_Right-Pallidum', 'Volume_mm3_Left-Putamen', 'ThickAvg_lh_rostralanteriorcingulate', 'normMax_3rd-Ventricle', 'Mean_lh_wg_pct_paracentral', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_rh_superiorfrontal', 'normMax_Right-Caudate', 'ThickAvg_lh_insula', 'normMaxwm-rh-middletemporal', 'ThickAvg_rh_rostralmiddlefrontal', 'GausCurv_rh_lingual', 'GausCurv_rh_transversetemporal', 'ThickAvg_rh_parsopercularis', 'Mean_lh_wg_pct_parstriangularis', 'Mean_lh_wg_pct_superiortemporal', 'normMax_Left-VentralDC', 'normMaxwm-rh-insula', 'normMinwm-rh-cuneus', 'GausCurv_rh_parsopercularis', 'normMaxwm-lh-transversetemporal']"
13,features_nfeats_30_split_3,"['Mean_rh_wg_pct_precentral', 'rh_MeanThickness', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_lh_parstriangularis', 'normStdDev_Left-Cerebellum-Cortex', 'normMaxwm-lh-superiorfrontal', 'ThickAvg_rh_parsopercularis', 'normMax_Right-Caudate', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_superiorfrontal', 'Mean_lh_wg_pct_precentral', 'ThickAvg_rh_posteriorcingulate', 'MeanCurv_rh_superiorparietal', 'ThickAvg_rh_parstriangularis', 'normMax_3rd-Ventricle', 'normMax_CC_Central', 'normMaxwm-rh-rostralanteriorcingulate', 'ThickAvg_lh_rostralanteriorcingulate', 'normRange_Right-Accumbens-area', 'FoldInd_lh_parahippocampal', 'normMin_Left-choroid-plexus', 'GausCurv_lh_superiorfrontal', 'normMax_Left-choroid-plexus', 'normMaxwm-rh-insula', 'normMax_Right-Putamen', 'normMax_Left-Pallidum', 'normMaxwm-lh-transversetemporal']"
14,features_nfeats_30_split_4,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normStdDevwm-rh-insula', 'ThickAvg_lh_parstriangularis', 'normMaxwm-lh-rostralmiddlefrontal', 'normMax_Left-Pallidum', 'normMax_3rd-Ventricle', 'Mean_rh_wg_pct_paracentral', 'normMax_Right-Caudate', 'normMin_CSF', 'ThickAvg_rh_parstriangularis', 'TotalGrayVol', 'CortexVol', 'normMin_Right-Cerebellum-Cortex', 'ThickAvg_rh_superiorfrontal', 'lh_MeanThickness', 'Mean_lh_wg_pct_precentral', 'ThickAvg_lh_parsopercularis', 'normMinwm-rh-insula', 'ThickAvg_lh_insula', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_lh_precentral', 'GausCurv_rh_lingual', 'normMax_CC_Posterior', 'normMaxwm-lh-insula', 'normMax_Left-VentralDC', 'GausCurv_rh_cuneus']"
15,features_nfeats_30_split_5,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'ThickStd_lh_rostralmiddlefrontal', 'normMax_Left-Pallidum', 'normStdDevwm-rh-insula', 'Volume_mm3_Right-Putamen', 'normMax_3rd-Ventricle', 'ThickAvg_rh_parstriangularis', 'MeanCurv_rh_superiorparietal', 'ThickAvg_lh_insula', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'Volume_mm3_Left-Putamen', 'GausCurv_rh_lingual', 'GausCurv_rh_transversetemporal', 'Mean_lh_wg_pct_paracentral', 'normMax_Right-Caudate', 'normMinwm-lh-postcentral', 'normMaxwm-rh-superiorfrontal', 'Mean_lh_wg_pct_parstriangularis', 'normMaxwm-lh-parsopercularis', 'normMax_CC_Posterior', 'normMax_CC_Anterior', 'normMaxwm-lh-insula', 'normMax_Right-Accumbens-area', 'ThickAvg_lh_parstriangularis', 'lh_MeanThickness', 'ThickAvg_lh_superiorfrontal']"
16,features_nfeats_30_split_6,"['Mean_rh_wg_pct_precentral', 'ThickAvg_lh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Left-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_rh_parstriangularis', 'normMax_Right-Caudate', 'normMaxwm-rh-superiorfrontal', 'Volume_mm3_Right-Putamen', 'normMax_3rd-Ventricle', 'Mean_lh_wg_pct_precentral', 'ThickAvg_rh_superiorfrontal', 'normMax_Right-Pallidum', 'GausCurv_rh_transversetemporal', 'GausCurv_rh_lingual', 'ThickAvg_lh_precuneus', 'ThickAvg_lh_insula', 'GausCurv_rh_cuneus', 'ThickAvg_lh_precentral', 'lh_MeanThickness', 'normMinwm-lh-postcentral', 'normMax_CC_Posterior', 'ThickAvg_rh_parsopercularis', 'normMax_CC_Anterior', 'ThickAvg_lh_parstriangularis', 'TotalGrayVol', 'normMaxwm-lh-insula', 'normMax_Right-Putamen', 'normMaxwm-lh-transversetemporal']"
17,features_nfeats_30_split_7,"['Mean_rh_wg_pct_precentral', 'ThickAvg_lh_superiorfrontal', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Left-Pallidum', 'normMaxwm-lh-parsorbitalis', 'normStdDev_Left-Cerebellum-Cortex', 'ThickAvg_lh_parsopercularis', 'normMaxwm-rh-superiorfrontal', 'normMax_Right-Caudate', 'ThickAvg_lh_rostralanteriorcingulate', 'GausCurv_rh_transversetemporal', 'GrayVol_lh_lateralorbitofrontal', 'Mean_lh_wg_pct_precentral', 'lh_MeanThickness', 'ThickAvg_rh_parsopercularis', 'ThickAvg_lh_precentral', 'ThickAvg_lh_precuneus', 'GausCurv_rh_lingual', 'normMax_3rd-Ventricle', 'normMax_Right-Putamen', 'normMaxwm-rh-insula', 'ThickAvg_rh_posteriorcingulate', 'ThickAvg_rh_parstriangularis', 'normMax_Left-VentralDC', 'normMinwm-lh-postcentral', 'ThickAvg_lh_parstriangularis', 'ThickAvg_lh_rostralmiddlefrontal', 'normMinwm-rh-middletemporal', 'normMin_CSF']"
18,features_nfeats_30_split_8,"['rh_MeanThickness', 'Mean_lh_wg_pct_precentral', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'normStdDev_Left-Cerebellum-Cortex', 'ThickAvg_lh_parsopercularis', 'normMax_Right-Caudate', 'normMaxwm-rh-superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_parstriangularis', 'normMaxwm-lh-parsorbitalis', 'Mean_rh_wg_pct_precentral', 'normMax_3rd-Ventricle', 'ThickAvg_lh_rostralanteriorcingulate', 'normMaxwm-lh-insula', 'MeanCurv_rh_superiorparietal', 'Mean_lh_wg_pct_postcentral', 'normMaxwm-lh-transversetemporal', 'ThickAvg_rh_precentral', 'ThickAvg_rh_parsopercularis', 'normRange_Right-Accumbens-area', 'ThickAvg_rh_posteriorcingulate', 'normMinwm-lh-rostralmiddlefrontal', 'normMax_Right-Accumbens-area', 'GausCurv_rh_transversetemporal', 'normMax_Left-choroid-plexus', 'normMaxwm-lh-lingual']"
19,features_nfeats_30_split_9,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'normMax_Right-Caudate', 'ThickAvg_lh_rostralanteriorcingulate', 'normMax_3rd-Ventricle', 'ThickAvg_lh_caudalmiddlefrontal', 'Mean_lh_wg_pct_postcentral', 'GausCurv_lh_fusiform', 'normMax_CC_Central', 'normMaxwm-rh-insula', 'GrayVol_rh_superiorfrontal', 'normMaxwm-lh-parsorbitalis', 'normMaxwm-lh-parahippocampal', 'normMin_CSF', 'normMaxwm-rh-parsopercularis', 'GausCurv_rh_transversetemporal', 'ThickAvg_rh_posteriorcingulate', 'normMaxwm-rh-rostralanteriorcingulate', 'normMaxwm-lh-transversetemporal', 'normRangewm-lh-parsorbitalis', 'normMaxwm-lh-insula', 'Mean_lh_wg_pct_precentral', 'ThickAvg_lh_parstriangularis', 'lh_MeanThickness', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_superiorfrontal']"
20,features_nfeats_40_split_0,"['Mean_rh_wg_pct_precentral', 'GrayVol_lh_superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'ThickAvg_rh_parsopercularis', 'normMax_Right-Caudate', 'normMax_3rd-Ventricle', 'normMax_CC_Central', 'GausCurv_lh_fusiform', 'normMax_CC_Anterior', 'Mean_lh_wg_pct_precentral', 'ThickAvg_lh_parstriangularis', 'GausCurv_rh_cuneus', 'GrayVol_lh_lateralorbitofrontal', 'normMaxwm-lh-parsorbitalis', 'normMaxwm-rh-parsopercularis', 'normMin_CSF', 'normMaxwm-lh-parahippocampal', 'lh_MeanThickness', 'normMaxwm-lh-insula', 'normMax_Right-Putamen', 'ThickAvg_lh_parsopercularis', 'normMaxwm-lh-lingual', 'ThickAvg_lh_insula', 'Mean_rh_wg_pct_paracentral', 'normMinwm-rh-cuneus', 'normMaxwm-rh-middletemporal', 'normMinwm-lh-postcentral', 'normMinRight-UnsegmentedWhiteMatter', 'normMax_Left-VentralDC', 'ThickAvg_lh_supramarginal', 'normMax_Left-Putamen', 'GausCurv_rh_isthmuscingulate', 'Mean_lh_wg_pct_caudalmiddlefrontal', 'ThickAvg_rh_postcentral', 'ThickAvg_rh_inferiorparietal', 'ThickAvg_rh_supramarginal', 'normMinwm-rh-transversetemporal']"
21,features_nfeats_40_split_1,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_rh_parstriangularis', 'normMax_Left-Pallidum', 'GausCurv_lh_fusiform', 'normStdDev_Left-Cerebellum-Cortex', 'Volume_mm3_Left-Putamen', 'normMax_3rd-Ventricle', 'Mean_lh_wg_pct_paracentral', 'Mean_rh_wg_pct_parsopercularis', 'normMinwm-rh-cuneus', 'normMaxwm-rh-middletemporal', 'ThickAvg_lh_insula', 'normMinwm-rh-transversetemporal', 'ThickAvg_lh_parstriangularis', 'lh_MeanThickness', 'ThickAvg_lh_superiorfrontal', 'ThickAvg_lh_parsopercularis', 'normMax_Right-Caudate', 'ThickAvg_rh_rostralmiddlefrontal', 'normMax_CC_Posterior', 'normMaxwm-rh-insula', 'Mean_lh_wg_pct_precentral', 'Mean_lh_wg_pct_superiorparietal', 'normMaxwm-lh-insula', 'normMax_Left-choroid-plexus', 'normMinwm-lh-caudalmiddlefrontal', 'normMaxwm-lh-caudalmiddlefrontal', 'normMaxwm-lh-parahippocampal', 'normMaxwm-lh-transversetemporal', 'CortexVol', 'GrayVol_lh_lateralorbitofrontal', 'normMaxwm-rh-parstriangularis', 'ThickAvg_lh_precentral', 'normMax_Left-Putamen', 'normMax_Left-VentralDC']"
22,features_nfeats_40_split_2,"['Mean_rh_wg_pct_precentral', 'rh_MeanThickness', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Left-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'ThickAvg_rh_parstriangularis', 'normStdDev_Left-Cerebellum-Cortex', 'ThickAvg_lh_parsopercularis', 'normMax_Right-Pallidum', 'Mean_lh_wg_pct_paracentral', 'normMaxwm-lh-parsorbitalis', 'Volume_mm3_Left-Putamen', 'ThickAvg_lh_rostralanteriorcingulate', 'normMax_3rd-Ventricle', 'ThickAvg_rh_superiorfrontal', 'normMax_Right-Caudate', 'ThickAvg_lh_insula', 'normMaxwm-rh-middletemporal', 'ThickAvg_rh_rostralmiddlefrontal', 'GausCurv_rh_lingual', 'GausCurv_rh_transversetemporal', 'ThickAvg_rh_parsopercularis', 'Mean_lh_wg_pct_parstriangularis', 'Mean_lh_wg_pct_superiortemporal', 'normMax_Left-VentralDC', 'normMaxwm-rh-insula', 'normMinwm-rh-cuneus', 'GausCurv_rh_parsopercularis', 'normMaxwm-lh-transversetemporal', 'normMax_Left-choroid-plexus', 'ThickAvg_rh_posteriorcingulate', 'normMax_Left-Putamen', 'ThickAvg_lh_precentral', 'TotalGrayVol', 'Mean_lh_wg_pct_parsorbitalis', 'normMax_4th-Ventricle', 'lh_MeanThickness', 'ThickAvg_lh_supramarginal', 'ThickAvg_lh_parstriangularis']"
23,features_nfeats_40_split_3,"['Mean_rh_wg_pct_precentral', 'rh_MeanThickness', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_lh_parstriangularis', 'normStdDev_Left-Cerebellum-Cortex', 'normMaxwm-lh-superiorfrontal', 'ThickAvg_rh_parsopercularis', 'normMax_Right-Caudate', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_superiorfrontal', 'Mean_lh_wg_pct_precentral', 'ThickAvg_rh_posteriorcingulate', 'ThickAvg_lh_rostralanteriorcingulate', 'normMax_CC_Central', 'normRange_Right-Accumbens-area', 'normMax_3rd-Ventricle', 'normMaxwm-rh-insula', 'normMin_Left-choroid-plexus', 'GausCurv_lh_superiorfrontal', 'GausCurv_rh_cuneus', 'normMax_Left-choroid-plexus', 'normMax_Left-Pallidum', 'FoldInd_lh_parahippocampal', 'normMax_Right-Putamen', 'normMaxwm-rh-rostralanteriorcingulate', 'GausCurv_rh_lingual', 'lh_MeanThickness', 'Mean_lh_wg_pct_paracentral', 'normMax_CC_Posterior', 'lhCortexVol', 'GausCurv_lh_paracentral', 'GausCurv_rh_parsopercularis', 'GausCurv_lh_fusiform', 'normMinwm-lh-postcentral', 'ThickAvg_rh_inferiorparietal', 'normMaxwm-rh-parstriangularis', 'normMinwm-lh-lateraloccipital']"
24,features_nfeats_40_split_4,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normStdDevwm-rh-insula', 'ThickAvg_lh_parstriangularis', 'normMaxwm-lh-rostralmiddlefrontal', 'normMax_Left-Pallidum', 'normMax_3rd-Ventricle', 'Mean_rh_wg_pct_paracentral', 'normMax_Right-Caudate', 'normMin_CSF', 'ThickAvg_rh_parstriangularis', 'TotalGrayVol', 'CortexVol', 'normMinwm-rh-insula', 'ThickAvg_rh_superiorfrontal', 'lh_MeanThickness', 'ThickAvg_lh_parsopercularis', 'ThickAvg_lh_insula', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_lh_precentral', 'GausCurv_rh_lingual', 'normMax_CC_Posterior', 'Mean_lh_wg_pct_precentral', 'normMaxwm-lh-insula', 'normMaxwm-rh-superiorfrontal', 'ThickAvg_lh_supramarginal', 'GausCurv_lh_precuneus', 'CurvInd_lh_parsorbitalis', 'normMax_Right-Putamen', 'normMax_CC_Mid_Posterior', 'normMin_Left-Cerebellum-Cortex', 'normMax_CC_Mid_Anterior', 'normMaxwm-rh-parsopercularis', 'ThickAvg_rh_insula', 'normMin_Right-Cerebellum-White-Matter', 'normMax_Left-VentralDC', 'normMax_CC_Central']"
25,features_nfeats_40_split_5,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'normMax_Right-Caudate', 'MeanCurv_rh_superiorparietal', 'ThickAvg_rh_parstriangularis', 'normMaxwm-rh-superiorfrontal', 'Volume_mm3_Left-Putamen', 'normMax_Left-Pallidum', 'normMax_3rd-Ventricle', 'ThickAvg_lh_insula', 'Volume_mm3_Right-Putamen', 'Mean_lh_wg_pct_paracentral', 'GausCurv_rh_lingual', 'GausCurv_rh_transversetemporal', 'ThickAvg_rh_superiorfrontal', 'normMaxwm-lh-parsopercularis', 'Mean_lh_wg_pct_precentral', 'normMaxwm-rh-insula', 'normMax_CC_Central', 'normMax_Left-VentralDC', 'Mean_lh_wg_pct_supramarginal', 'normMax_CC_Anterior', 'Mean_lh_wg_pct_postcentral', 'GausCurv_rh_cuneus', 'normMaxwm-lh-cuneus', 'normMaxwm-lh-parahippocampal', 'GausCurv_lh_posteriorcingulate', 'normMax_Left-Putamen', 'ThickAvg_lh_parstriangularis', 'normMaxwm-lh-insula', 'TotalGrayVol', 'normMax_Right-Putamen', 'Mean_lh_wg_pct_parsorbitalis', 'normMax_CC_Posterior', 'normMaxwm-rh-posteriorcingulate', 'lh_MeanThickness']"
